Category,Constant_Name,Value
LABOR,base_rate_n1,0.400833333333333
LABOR,variable_rate_n2,0.490316666666667
LABOR,extra_time_k42,1.0
COSTS_CAD,material_fm_per_yard,8.357
COSTS_CAD,material_og_per_yard,6.17
COSTS_CAD,edge_banding_per_yard,4.73
COSTS_CAD,thread,0.01
COSTS_CAD,fastener_magnet,0.4175
COSTS_CAD,fastener_flip_post,0.1925
COSTS_CAD,fastener_permalock,0.1925
COSTS_CAD,fastener_grommet,0.07354166666666667
COSTS_CAD,coutant_i42_extra,2.5
MANUFACTURING,overhead_margin_n5,0.35
MANUFACTURING,spec_b16,2.0
MANUFACTURING,spec_e16,2.0
MANUFACTURING,spec_f13,0.0
MANUFACTURING,spec_j27,2.5
MANUFACTURING,spec_k27,60.0
MANUFACTURING,roll_width_fm,80.0
MANUFACTURING,roll_width_og,61.0
MANUFACTURING,us_net_markup,2.0
US_CONVERSION,duty_multiplier,1.35
US_CONVERSION,exchange_rate_cad_to_usd,1.34
US_CONVERSION,net_price_markup,2.0
