type,media,height,width,rangeFrom,rangeTo,priceCustomStandard,PriceCustomAt
031,2E,<25,<25,16,249,2.99,$-
031,2E,<25,<25,250,299,3.06,$-
031,2E,<25,<25,300,349,3.12,$-
031,2E,<25,<25,350,399,3.19,$-
031,2E,<25,<25,400,449,3.25,$-
031,2E,<25,<25,450,499,3.33,$-
031,2E,<25,<25,500,549,3.4,$-
031,2E,<25,<25,550,599,3.46,$-
031,2E,<25,>25;<48,16,249,3.43,$-
031,2E,<25,>25;<48,250,399,3.61,$-
031,2E,<25,>25;<48,400,499,3.72,$-
031,2E,<25,>25;<48,500,649,3.91,$-
031,2E,<25,>25;<48,650,699,3.97,$-
031,2E,<25,>25;<48,700,999,4.34,$-
031,2E,<25,>25;<48,1000,1145,4.51,$-
031,2E,<25,>48;<78,16,499,3.86,$-
031,2E,<25,>48;<78,500,649,4.04,$-
031,2E,<25,>48;<78,650,799,4.22,$-
031,2E,<25,>48;<78,800,1099,4.59,$-
031,2E,<25,>48;<78,1100,1299,4.82,$-
031,2E,<25,>48;<78,1300,1499,8.14,$-
031,2E,<25,>48;<78,1500,1699,8.74,$-
031,2E,<25,>48;<78,1700,1899,9.33,$-
031,2E,>25;<34,<78,16,349,4.72,$-
031,2E,>25;<34,<78,350,499,5.17,$-
031,2E,>25;<34,<78,500,649,5.62,$-
031,2E,>25;<34,<78,650,799,6.06,$-
031,2E,>25;<34,<78,800,949,6.51,$-
031,2E,>25;<34,<78,950,1099,6.96,$-
031,2E,>25;<34,<78,1100,1299,7.55,$-
031,2E,>25;<34,<78,1300,1499,8.14,$-
031,2E,>25;<34,<78,1500,1699,8.74,$-
031,2E,>25;<34,<78,1700,1899,9.33,$-
031,2E,>25;<34,<78,1900,2099,9.92,$-
031,2E,>25;<34,<78,2100,2299,10.53,$-
031,2E,>25;<34,<78,2300,2568,11.32,$-
031,2E,>34;<52,<78,1114,1499,10.18,$-
031,2E,>34;<52,<78,1500,1999,12.37,$-
031,2E,>34;<52,<78,2000,2499,14.58,$-
031,2E,>34;<52,<78,2500,2999,16.77,$-
031,2E,>34;<52,<78,3000,3599,19.4,$-
031,2E,>34;<52,<78,3600,3959,20.98,$-
050,3,<25,<25,16,249,3.84,3.99
050,3,<25,<25,250,299,3.92,4.08
050,3,<25,<25,300,349,4.01,4.17
050,3,<25,<25,350,399,4.09,4.25
050,3,<25,<25,400,449,4.18,4.35
050,3,<25,<25,450,499,4.26,4.43
050,3,<25,<25,500,549,4.35,4.52
050,3,<25,<25,550,599,4.44,4.62
050,3,<25,>25;<48,16,249,4.4,4.58
050,3,<25,>25;<48,250,399,4.62,4.80
050,3,<25,>25;<48,400,499,4.78,4.97
050,3,<25,>25;<48,500,649,5.01,5.21
