Product_Prefix,Min_Range,Max_Range,1_Update,1_Double,1_Triple,2_Update,2_Double,2_Triple,4_Update,4_Double,4_Triple
11104,1,299,5.109104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11104,300,599,5.349344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11104,600,899,5.637632,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11104,900,1199,5.909904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11104,1200,1499,6.198192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11104,1500,1799,6.518512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11104,1800,2099,6.838832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11204,1,299,6.1,8.24,12.07,6.71,9.05,11.32,N/A,N/A,N/A
11204,300,599,6.38,8.61,12.72,7.02,9.48,11.85,N/A,N/A,N/A
11204,600,899,6.73,9.09,13.32,7.4,9.99,12.5,N/A,N/A,N/A
11204,900,1199,7.05,9.53,13.99,7.75,10.48,13.09,N/A,N/A,N/A
11204,1200,1499,7.4,9.99,14.7,8.14,10.98,13.73,N/A,N/A,N/A
11204,1500,1799,7.79,10.49,15.43,8.55,11.56,14.44,N/A,N/A,N/A
11204,1800,2099,8.17,11.01,10.51,8.98,12.13,15.16,N/A,N/A,N/A
12104,1,299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12104,300,599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12104,600,899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12104,900,1199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12104,1200,1499,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12104,1500,1799,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12104,1800,2099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12204,1,299,6.12,8.26,11.28,6.72,8.75,10.94,N/A,N/A,N/A
12204,300,599,6.42,8.68,11.84,7.09,9.2,11.51,N/A,N/A,N/A
12204,600,899,6.75,9.1,12.42,7.42,9.65,12.05,N/A,N/A,N/A
