Lookup_Key,Override_Price
10x10x1,"This is a standard part #, use the Price Book"
10x20x1,"This is a standard part #, use the Price Book"
10x24x1,"This is a standard part #, use the Price Book"
10x25x1,"This is a standard part #, use the Price Book"
10x30x1,"This is a standard part #, use the Price Book"
10x36x1,"This is a standard part #, use the Price Book"
12x12x1,"This is a standard part #, use the Price Book"
12x18x1,"This is a standard part #, use the Price Book"
12x20x1,"This is a standard part #, use the Price Book"
12x24x1,"This is a standard part #, use the Price Book"
12x25x1,"This is a standard part #, use the Price Book"
12x30x1,"This is a standard part #, use the Price Book"
12x36x1,"This is a standard part #, use the Price Book"
13x20x1,"This is a standard part #, use the Price Book"
13x21-1/2x1,"This is a standard part #, use the Price Book"
14x14x1,"This is a standard part #, use the Price Book"
14x18x1,"This is a standard part #, use the Price Book"
14x20x1,"This is a standard part #, use the Price Book"
14x24x1,"This is a standard part #, use the Price Book"
14x25x1,"This is a standard part #, use the Price Book"
14x28x1,"This is a standard part #, use the Price Book"
14x30x1,"This is a standard part #, use the Price Book"
15x20x1,"This is a standard part #, use the Price Book"
15x25x1,"This is a standard part #, use the Price Book"
16x16x1,"This is a standard part #, use the Price Book"
16x20x1,"This is a standard part #, use the Price Book"
16x24x1,"This is a standard part #, use the Price Book"
16x25x1,"This is a standard part #, use the Price Book"
16x30x1,"This is a standard part #, use the Price Book"
16.375x21.5x1,"This is a standard part #, use the Price Book"
18x18x1,"This is a standard part #, use the Price Book"
18x20x1,"This is a standard part #, use the Price Book"
18x24x1,"This is a standard part #, use the Price Book"
18x25x1,"This is a standard part #, use the Price Book"
18x30x1,"This is a standard part #, use the Price Book"
19.875x21.5x1,"This is a standard part #, use the Price Book"
20x20x1,"This is a standard part #, use the Price Book"
20x22x1,"This is a standard part #, use the Price Book"
20x23x1,"This is a standard part #, use the Price Book"
20x24x1,"This is a standard part #, use the Price Book"
20x25x1,"This is a standard part #, use the Price Book"
20x30x1,"This is a standard part #, use the Price Book"
20x36x1,"This is a standard part #, use the Price Book"
21-1/2x23-5/16x1,"This is a standard part #, use the Price Book"
22x22x1,"This is a standard part #, use the Price Book"
24x24x1,"This is a standard part #, use the Price Book"
24x30x1,"This is a standard part #, use the Price Book"
24x36x1,"This is a standard part #, use the Price Book"
25x25x1,"This is a standard part #, use the Price Book"
10x20x2,"This is a standard part #, use the Price Book"
12x12x2,"This is a standard part #, use the Price Book"
12x20x2,"This is a standard part #, use the Price Book"
12x24x2,"This is a standard part #, use the Price Book"
14x20x2,"This is a standard part #, use the Price Book"
14x25x2,"This is a standard part #, use the Price Book"
14x30x2,"This is a standard part #, use the Price Book"
15x20x2,"This is a standard part #, use the Price Book"
16x16x2,"This is a standard part #, use the Price Book"
16x20x2,"This is a standard part #, use the Price Book"
16x24x2,"This is a standard part #, use the Price Book"
16x25x2,"This is a standard part #, use the Price Book"
16x30x2,"This is a standard part #, use the Price Book"
18x18x2,"This is a standard part #, use the Price Book"
18x20x2,"This is a standard part #, use the Price Book"
18x24x2,"This is a standard part #, use the Price Book"
18x25x2,"This is a standard part #, use the Price Book"
20x16x2,"This is a standard part #, use the Price Book"
20x20x2,"This is a standard part #, use the Price Book"
20x24x2,"This is a standard part #, use the Price Book"
20x25x2,"This is a standard part #, use the Price Book"
20x30x2,"This is a standard part #, use the Price Book"
20x35x2,"This is a standard part #, use the Price Book"
24x20x2,"This is a standard part #, use the Price Book"
24x24x2,"This is a standard part #, use the Price Book"
24x30x2,"This is a standard part #, use the Price Book"
25x16x2,"This is a standard part #, use the Price Book"
25x25x2,"This is a standard part #, use the Price Book"
12x24x4,"This is a standard part #, use the Price Book"
12.5x18.5x4,"This is a standard part #, use the Price Book"
12.5x24x4,"This is a standard part #, use the Price Book"
16x20x4,"This is a standard part #, use the Price Book"
16x24x4,"This is a standard part #, use the Price Book"
16x25x4,"This is a standard part #, use the Price Book"
18x24x4,"This is a standard part #, use the Price Book"
20x20x4,"This is a standard part #, use the Price Book"
20x24x4,"This is a standard part #, use the Price Book"
20x25x4,"This is a standard part #, use the Price Book"
24x24x4,"This is a standard part #, use the Price Book"
25x29x4,"This is a standard part #, use the Price Book"
