Name,Product_Prefix
"Fiberglass Throwaway - 2-PC ",11204
Poly Throwaway - 2-PC,12204
MERV 8 Pleat - SC,21208
MERV 8 Pleat - HC,21308
MERV 10 Pleat - SC,21210
MERV 10 Pleat - HC,21310
MERV 11 Pleat - SC,21211
MERV 11 Pleat - HC,21311
MERV 13 Pleat - HC,21213
XT High Strength M9 Pleat SC,23209
XT High Strength M9 Pleat HC,23309
XT High Strength M10 Pleat SC,23210
XT High Strength M10 Pleat HC,23310
XT High Strength M11 Pleat SC,23211
XT High Strength M11 Pleat HC,23311
XT High Strength M13 Pleat HC,23213
