from,to,standardPrice,atPrice
0,143,1.59,1.72
144,156,1.7,1.84
157,168,1.81,1.95
169,180,1.91,2.06
181,192,2.01,2.17
193,204,2.11,2.28
205,216,2.21,2.39
217,228,2.32,2.5
229,240,2.42,2.71
241,252,2.52,2.82
253,264,2.62,2.94
265,276,2.72,3.05
277,288,2.83,3.16
289,300,2.93,3.28
301,312,3.04,3.4
313,324,3.15,3.53
325,336,3.26,3.66
337,348,3.38,3.78
349,360,3.49,3.91
361,372,3.6,4.03
373,384,3.71,4.16
385,396,3.83,4.28
397,408,3.94,4.41
409,420,4.05,4.54
421,432,4.16,4.66
433,444,4.27,4.79
445,456,4.39,4.91
457,468,4.5,5.04
469,480,4.61,5.16
481,492,4.72,5.29
493,504,4.83,5.41
505,516,4.95,5.54
517,528,5.06,5.67
529,540,5.17,5.79
541,552,5.28,5.92
553,564,5.4,6.04
565,576,5.51,6.17
577,588,5.62,6.29
589,600,5.73,6.42
601,612,5.84,6.55
613,624,5.96,6.67
625,636,6.07,6.8
637,648,6.18,6.92
649,660,6.29,7.05
661,672,6.41,7.17
673,684,6.52,7.3
685,696,6.63,7.43
697,708,6.74,7.55
709,720,6.85,7.68
721,732,6.97,7.8
733,744,7.08,7.93
745,756,7.19,8.05
757,768,7.3,8.18
769,780,7.42,8.31
781,792,7.53,8.43
793,804,7.64,8.56
805,816,7.75,8.68
817,828,7.86,8.81
829,840,7.98,8.93
841,852,8.09,9.06
853,864,8.2,9.18
865,876,8.31,9.31
877,888,8.43,9.44
889,900,8.54,9.56
901,912,8.65,9.69
913,924,8.76,9.81
925,936,8.87,9.94
937,948,8.99,10.06
949,960,9.1,10.19
961,972,9.21,10.32
973,984,9.32,10.44
985,996,9.44,10.57
996,4000,10.05,11.25
