from,to,standardPrice,atPrice
0,143,2.03,2.19
144,191,2.19,2.37
192,239,2.32,2.51
240,287,2.45,2.65
288,335,2.65,2.86
336,383,2.9,3.13
384,431,3.14,3.39
432,479,3.35,3.62
480,527,3.62,3.91
528,575,3.89,4.2
576,623,4.14,4.47
624,671,4.39,4.74
672,719,4.67,5.04
720,767,4.95,5.35
768,815,5.23,5.65
816,863,5.5,5.94
864,911,5.8,6.26
912,959,6.09,6.58
960,1007,6.39,6.9
1008,1055,6.69,7.23
1056,1103,7.01,7.57
1104,1151,7.33,7.92
1152,1199,7.64,8.25
1200,1247,7.97,8.61
1248,1295,8.32,8.99
1296,1343,8.64,9.33
1344,1391,9,9.72
1392,1439,9.34,10.09
1440,1487,9.69,10.47
1488,1535,10.04,10.84
1536,1583,10.4,11.23
1584,1631,10.76,11.62
1632,1679,11.14,12.03
1680,1727,11.51,12.43
1728,1775,11.89,12.84
1776,1823,12.28,13.26
1824,1871,12.67,13.68
1872,1919,13.06,14.1
1920,1967,13.46,14.54
1968,2015,13.88,14.99
2016,2063,14.28,15.42
2064,2111,14.71,15.89
2112,2159,15.13,16.34
2160,2207,15.57,16.82
2208,2255,16.01,17.29
2256,2303,16.45,17.77
2304,2351,16.91,18.26
2352,2399,17.37,18.76
2400,2447,17.84,19.27
2448,2495,18.3,19.76
2496,2543,18.78,20.28
2544,2591,19.28,20.82
2592,2639,19.76,21.34
2640,2687,20.26,21.88
2688,2735,20.77,22.43
2736,2783,21.28,23
2784,2831,21.8,23.54
2832,2879,22.32,24.11
2880,2927,22.84,24.67
2928,2975,23.38,25.25
2976,3023,23.94,25.86
3024,3071,24.48,26.44
3072,3119,25.04,27.04
3120,3167,25.6,27.65
3168,3215,26.17,28.26
3216,3263,26.74,28.88
3264,3311,27.32,29.51
3312,3359,27.91,30.14
3360,3407,28.51,30.79
3408,3455,29.1,31.43
3456,3503,29.7,32.08
3504,3551,30.31,32.73
3552,3599,30.93,33.41
