Product_Prefix,Min_Range,Max_Range,"1""_Current","2""_Current","1""_Update","1""_Double","1""_Triple","2""_Update","2""_Double","2""_Triple","4""_Update","4""_Double","4""_Triple"
21208.00,1.00,299.00,5.77,6.06,8.00,10.98,14.27,8.79,12.47,16.21,14.95,21.20,27.56
21208.00,300.00,599.00,7.31,7.68,10.98,13.18,17.13,13.21,14.24,18.51,22.45,24.21,31.47
21208.00,600.00,899.00,9.10,9.56,12.05,15.81,20.55,15.85,17.09,22.22,26.94,29.05,37.77
21208.00,900.00,1199.00,10.63,11.16,13.86,18.97,24.66,18.23,20.51,26.66,30.98,34.86,45.32
21208.00,1200.00,1499.00,12.37,12.99,15.94,22.77,29.60,20.96,24.61,31.99,35.63,41.84,54.39
21208.00,1500.00,1799.00,14.39,15.11,18.33,27.32,35.52,24.10,29.53,38.39,40.98,50.20,65.26
21308.00,1.00,299.00,6.82,7.16,8.80,12.08,15.70,9.67,13.72,17.83,16.44,23.32,30.32
21308.00,300.00,599.00,8.36,8.78,12.08,14.49,18.84,14.53,15.67,20.36,24.70,26.63,34.62
21308.00,600.00,899.00,10.15,10.66,13.26,17.39,22.61,17.43,18.80,24.44,29.64,31.96,41.54
21308.00,900.00,1199.00,11.67,12.26,15.25,20.87,27.13,20.05,22.56,29.33,34.08,38.35,49.85
21308.00,1200.00,1499.00,13.42,14.09,17.53,25.04,32.56,23.06,27.07,35.19,39.19,46.02,59.82
21308.00,1500.00,1799.00,15.44,16.21,20.16,30.05,39.07,26.51,32.48,42.23,45.07,55.22,71.79
21211.00,1.00,299.00,7.84,8.24,9.44,12.96,16.84,10.37,14.72,19.13,17.64,25.02,32.52
21211.00,300.00,599.00,9.61,10.09,12.96,15.55,20.21,15.58,16.80,21.85,26.49,28.57,37.14
21211.00,600.00,899.00,11.67,12.26,14.22,18.66,24.25,18.70,20.17,26.22,31.79,34.28,44.57
21211.00,900.00,1199.00,13.42,14.09,16.36,22.39,29.10,21.51,24.20,31.46,36.56,41.14,53.48
21211.00,1200.00,1499.00,15.44,16.21,18.81,26.86,34.92,24.73,29.04,37.75,42.04,49.37,64.17
21211.00,1500.00,1799.00,17.75,18.64,21.63,32.24,41.91,28.44,34.85,45.30,48.35,59.24,77.01
21311.00,1.00,299.00,8.24,8.65,10.38,14.25,18.53,11.41,16.19,21.05,19.40,27.52,35.78
21311.00,300.00,599.00,10.09,10.60,14.25,17.10,22.23,17.14,18.49,24.03,29.14,31.42,40.85
21311.00,600.00,899.00,12.26,12.87,15.65,20.52,26.68,20.57,22.18,28.84,34.97,37.71,49.02
21311.00,900.00,1199.00,14.09,14.80,17.99,24.63,32.01,23.66,26.62,34.60,40.22,45.25,58.83
21311.00,1200.00,1499.00,16.21,17.02,20.69,29.55,38.42,27.21,31.94,41.52,46.25,54.30,70.59
21311.00,1500.00,1799.00,18.64,19.57,23.79,35.46,46.10,31.29,38.33,49.83,53.19,65.16,84.71
21213.00,1.00,299.00,8.65,9.08,12.25,16.82,21.86,13.47,19.10,24.83,22.89,32.47,42.22
21213.00,300.00,599.00,10.60,11.13,16.82,20.18,26.23,20.23,21.81,28.36,34.39,37.08,48.21
21213.00,600.00,899.00,12.87,13.51,18.46,24.22,31.48,24.27,26.17,34.03,41.27,44.50,57.85
21213.00,900.00,1199.00,14.80,15.54,21.23,29.06,37.78,27.92,31.41,40.83,47.46,53.40,69.42
21213.00,1200.00,1499.00,17.02,17.87,24.42,34.87,45.33,32.10,37.69,49.00,54.57,64.08,83.30
21213.00,1500.00,1799.00,19.57,20.55,28.08,41.84,54.40,36.92,45.23,58.80,62.76,76.89,99.96
21210.00,1.00,299.00,6.06,6.36,8.40,11.53,14.99,9.23,13.10,17.02,15.69,22.26,28.94
21210.00,300.00,599.00,7.68,8.06,11.53,13.83,17.98,13.87,14.95,19.44,23.57,25.42,33.05
21210.00,600.00,899.00,9.56,10.04,12.66,16.60,21.58,16.64,17.94,23.33,28.29,30.50,39.66
21210.00,900.00,1199.00,11.16,11.72,14.55,19.92,25.90,19.14,21.53,27.99,32.53,36.61,47.59
21210.00,1200.00,1499.00,12.99,13.64,16.74,23.90,31.08,22.01,25.84,33.59,37.41,43.93,57.10
21210.00,1500.00,1799.00,15.11,15.87,19.25,28.69,37.29,25.31,31.01,40.31,43.02,52.71,68.53
21310.00,1.00,299.00,,,9.24,12.68,16.49,10.15,14.41,18.73,17.26,24.49,31.84
21310.00,300.00,599.00,,,12.68,15.22,19.78,15.25,16.45,21.38,25.93,27.96,36.35
21310.00,600.00,899.00,,,13.92,18.26,23.74,18.30,19.74,25.66,31.12,33.56,43.62
21310.00,900.00,1199.00,,,16.01,21.91,28.49,21.05,23.69,30.79,35.79,40.27,52.35
21310.00,1200.00,1499.00,,,18.41,26.30,34.18,24.21,28.42,36.95,41.15,48.32,62.82
21310.00,1500.00,1799.00,,,21.17,31.55,41.02,27.84,34.11,44.34,47.33,57.98,75.38
22210.00,1.00,299.00,,,9.40,12.91,16.79,10.34,14.67,19.07,17.58,24.93,32.41
22210.00,300.00,599.00,,,12.91,15.49,20.14,15.53,16.75,21.77,26.40,28.47,37.01
22210.00,600.00,899.00,,,14.17,18.59,24.17,18.64,20.10,26.13,31.68,34.17,44.41
22210.00,900.00,1199.00,,,16.30,22.31,29.00,21.43,24.12,31.35,36.44,41.00,53.30
22210.00,1200.00,1499.00,,,18.75,26.77,34.81,24.65,28.94,37.62,41.90,49.20,63.96
22210.00,1500.00,1799.00,,,21.56,32.13,41.77,28.35,34.73,45.15,48.19,59.04,76.75
